BHK,Flat Type,Locality,Area,Furnishing Status,Price
3 BHK,Apartment,Nallagandla Gachibowli,1550,Semi-Furnished,49000
3 BHK,Apartment,Nanakramguda,1000,Furnished,74000
4 BHK,Apartment,Nallagandla Gachibowli,2600,Semi-Furnished,64000
3 BHK,Apartment,Kondapur,1700,Furnished,45000
3 BHK,Apartment,Nanakramguda,1500,Furnished,60000
3 BHK,Apartment,Gachibowli,1745,Semi-Furnished,55000
3 BHK,Villa,Tellapur,2800,Semi-Furnished,69000
4 BHK,Villa,Sainikpuri,3800,Furnished,47000
4 BHK,Independent,Madhapur,3200,Semi-Furnished,59000
3 BHK,Apartment,Gopanpally,1765,Furnished,44000
2 BHK,Apartment,Gachibowli,1492,Furnished,65000
2 BHK,Apartment,Manikonda,1200,Semi-Furnished,34000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,60000
3 BHK,Apartment,Kondapur,1600,Semi-Furnished,62000
2 BHK,Apartment,Gachibowli,1283,Semi-Furnished,40000
2 BHK,Apartment,Gachibowli,1283,Unfurnished,32000
2 BHK,Apartment,Gachibowli,1283,Semi-Furnished,45000
3 BHK,Apartment,Gachibowli,1742,Semi-Furnished,70001
4 BHK,Apartment,Nanakramguda,5625,Semi-Furnished,1.5 L
3 BHK,Apartment,Nanakramguda,2824,Semi-Furnished,60001
3 BHK,Apartment,Shaikpet,1878,Furnished,55000
3 BHK,Apartment,Manikonda,2175,Semi-Furnished,50000
3 BHK,Villa,Nagole,3200,Semi-Furnished,80001
3 BHK,Apartment,Manikonda,1800,Semi-Furnished,56000
3 BHK,Apartment,Kondapur,1650,Semi-Furnished,50000
3 BHK,Apartment,Tellapur,2020,Furnished,45000
3 BHK,Apartment,Gachibowli,1745,Semi-Furnished,55000
3 BHK,Apartment,Kondapur,1700,Furnished,45001
3 BHK,Apartment,Kondapur,1798,Semi-Furnished,55000
3 BHK,Apartment,Nanakramguda,1500,Furnished,60000
3 BHK,Apartment,Kukatpally,1500,Semi-Furnished,46000
3 BHK,Apartment,Kukatpally,1500,Semi-Furnished,46000
4 BHK,Apartment,Nanakramguda,4000,Semi-Furnished,1.49
2 BHK,Apartment,Nallagandla Gachibowli,1345,Furnished,44000
2 BHK,Apartment,Himayat Nagar,1200,Semi-Furnished,18000
3 BHK,Apartment,Himayat Nagar,1700,Semi-Furnished,27000
3 BHK,Apartment,Gachibowli,1900,Furnished,75000
3 BHK,Apartment,Nallagandla Gachibowli,1850,Semi-Furnished,50000
3 BHK,Apartment,Hitech City,2050,Furnished,80000
4 BHK,Apartment,Nanakramguda,5625,Semi-Furnished,1.5 L
3 BHK,Apartment,Kondapur,1798,Semi-Furnished,55000
3 BHK,Apartment,Nallagandla Gachibowli,1510,Semi-Furnished,50000
3 BHK,Apartment,Tellapur,2020,Furnished,45000
3 BHK,Apartment,Hitech City,2330,Furnished,75000
3 BHK,Apartment,Nanakramguda,2680,Semi-Furnished,75000
4 BHK,Apartment,Gachibowli,2108,Semi-Furnished,1.09
3 BHK,Apartment,Manikonda,1800,Semi-Furnished,56000
3 BHK,Apartment,Nanakramguda,2100,Semi-Furnished,50000
3 BHK,Independent,Banjara Hills,2800,Furnished,65000
2 BHK,Apartment,Nallagandla Gachibowli,1050,Furnished,44000
2 BHK,Apartment,Bachupally,1600,Furnished,37000
3 BHK,Apartment,Kukatpally,1760,Semi-Furnished,41000
2 BHK,Apartment,Kukatpally,1050,Furnished,28000
2 BHK,Apartment,Banjara Hills,1800,Semi-Furnished,28000
3 BHK,Apartment,Hitech City,1345,Semi-Furnished,54000
4 BHK,Apartment,Kondapur,2400,Furnished,59000
3 BHK,Apartment,Nallagandla Gachibowli,1875,Semi-Furnished,44000
3 BHK,Apartment,Nanakramguda,2824,Semi-Furnished,60000
3 BHK,Apartment,Manikonda,2175,Semi-Furnished,50000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55001
3 BHK,Apartment,Madhapur,3400,Furnished,1.8 L
3 BHK,Independent,Manikonda,1700,Semi-Furnished,31000
2 BHK,Apartment,Gachibowli,1034,Furnished,44000
3 BHK,Apartment,Nallakunta,1600,Semi-Furnished,25000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55000
3 BHK,Apartment,Narsingi,1358,Semi-Furnished,49000
2 BHK,Apartment,Gachibowli,892,Semi-Furnished,52000
3 BHK,Apartment,Jubilee Hills,1950,Unfurnished,49000
2 BHK,Apartment,Jubilee Hills,1100,Unfurnished,39000
3 BHK,Apartment,Jubilee Hills,1950,Unfurnished,54000
3 BHK,Apartment,Kokapet,2100,Semi-Furnished,55000
2 BHK,Apartment,Nallagandla Gachibowli,1100,Semi-Furnished,38000
3 BHK,Apartment,Gachibowli,1100,Semi-Furnished,45000
3 BHK,Apartment,Manikonda,1250,Furnished,53000
3 BHK,Apartment,Hitech City,1750,Semi-Furnished,65000
3 BHK,Apartment,Hitech City,1900,Semi-Furnished,55000
3 BHK,Apartment,Gachibowli,1500,Semi-Furnished,35000
3 BHK,Apartment,Kondapur,1798,Furnished,60000
3 BHK,Apartment,Nanakramguda,2000,Semi-Furnished,50000
3 BHK,Apartment,Kukatpally,1450,Semi-Furnished,48000
3 BHK,Apartment,Kondapur,1750,Semi-Furnished,28000
3 BHK,Apartment,Manikonda,2100,Semi-Furnished,56000
3 BHK,Apartment,Kondapur,1700,Furnished,45000
3 BHK,Apartment,Tellapur,2020,Furnished,45000
3 BHK,Apartment,Kokapet,2100,Semi-Furnished,55000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55000
3 BHK,Apartment,Gachibowli,2000,Semi-Furnished,50000
3 BHK,Apartment,Kukatpally,1900,Semi-Furnished,55000
3 BHK,Apartment,Manikonda,2100,Semi-Furnished,56000
3 BHK,Apartment,Nallagandla Gachibowli,1510,Semi-Furnished,46500
3 BHK,Apartment,Nanakramguda,2500,Semi-Furnished,73000
4 BHK,Apartment,Gachibowli,1993,Semi-Furnished,60000
3 BHK,Apartment,Nanakramguda,2200,Semi-Furnished,50000
3 BHK,Apartment,Gachibowli,1470,Semi-Furnished,50000
3 BHK,Apartment,Kondapur,1700,Semi-Furnished,53000
2 BHK,Apartment,Nallagandla Gachibowli,1100,Semi-Furnished,38000
3 BHK,Apartment,Gachibowli,1410,Semi-Furnished,45000
3 BHK,Independent,Nanakramguda,1700,Furnished,45002
3 BHK,Apartment,Nallagandla Gachibowli,1850,Semi-Furnished,50000
2 BHK,Apartment,Gachibowli,1283,Unfurnished,32000
2 BHK,Apartment,Gachibowli,892,Semi-Furnished,45000
3 BHK,Apartment,Gachibowli,1742,Semi-Furnished,70000
3 BHK,Apartment,Madhapur,3400,Furnished,1.8 L
3 BHK,Apartment,Madhapur,1800,Semi-Furnished,39000
3 BHK,Apartment,Gopanpally,1700,Furnished,44000
2 BHK,Apartment,Nallagandla Gachibowli,1100,Semi-Furnished,38000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55000
3 BHK,Apartment,Kondapur,1650,Semi-Furnished,50000
3 BHK,Apartment,Tellapur,2200,Semi-Furnished,45000
3 BHK,Apartment,Hitech City,1945,Semi-Furnished,68000
3 BHK,Apartment,Madhapur,2595,Furnished,1.3 L
3 BHK,Apartment,Hitech City,1945,Semi-Furnished,68000
3 BHK,Apartment,Manikonda,2100,Semi-Furnished,56000
3 BHK,Apartment,Kondapur,1650,Semi-Furnished,50000
3 BHK,Apartment,Hitech City,1945,Semi-Furnished,68000
3 BHK,Apartment,Kondapur,1650,Semi-Furnished,54000
3 BHK,Apartment,Nallagandla Gachibowli,1850,Semi-Furnished,50000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,60000
3 BHK,Apartment,Kokapet,2100,Semi-Furnished,55000
3 BHK,Apartment,Gachibowli,2000,Semi-Furnished,50000
3 BHK,Apartment,Manikonda,2100,Semi-Furnished,56000
3 BHK,Apartment,Hitech City,1900,Semi-Furnished,55000
3 BHK,Independent,Nanakramguda,1700,Furnished,45001
3 BHK,Apartment,Manikonda,2100,Semi-Furnished,56000
3 BHK,Apartment,Nallagandla Gachibowli,1800,Semi-Furnished,49000
2 BHK,Apartment,Nallakunta,1100,Semi-Furnished,18000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55000
4 BHK,Apartment,Gachibowli,1993,Semi-Furnished,60000
3 BHK,Apartment,Gachibowli,1470,Semi-Furnished,50000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,60000
3 BHK,Apartment,Nallagandla Gachibowli,1850,Semi-Furnished,50000
3 BHK,Apartment,Tellapur,1792,Semi-Furnished,35000
3 BHK,Apartment,Punjagutta,3000,Unfurnished,44000
4 BHK,Apartment,Madhapur,3400,Furnished,2.99
3 BHK,Apartment,Kokapet,1466,Semi-Furnished,54000
3 BHK,Apartment,Madhapur,3300,Furnished,3.29
3 BHK,Apartment,Kukatpally,1900,Semi-Furnished,55000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55000
3 BHK,Apartment,Kukatpally,1980,Furnished,48000
3 BHK,Apartment,Nanakramguda,2000,Semi-Furnished,50000
3 BHK,Apartment,Kukatpally,1450,Semi-Furnished,48000
3 BHK,Apartment,Kondapur,1650,Semi-Furnished,50000
3 BHK,Apartment,Kokapet,2100,Semi-Furnished,55000
3 BHK,Apartment,Gachibowli,1500,Semi-Furnished,35000
3 BHK,Apartment,Nanakramguda,2200,Semi-Furnished,50000
3 BHK,Apartment,Nallagandla Gachibowli,1850,Semi-Furnished,50000
3 BHK,Apartment,Kondapur,1700,Semi-Furnished,53000
2 BHK,Apartment,Gachibowli,1283,Unfurnished,32000
2 BHK,Apartment,Nallagandla Gachibowli,1100,Semi-Furnished,38000
3 BHK,Apartment,Gachibowli,1410,Semi-Furnished,45000
3 BHK,Apartment,Kondapur,1798,Furnished,60000
3 BHK,Apartment,Madhapur,2595,Furnished,1.3 L
2 BHK,Apartment,Gachibowli,892,Semi-Furnished,45000
3 BHK,Apartment,Gachibowli,1742,Semi-Furnished,70000
3 BHK,Apartment,Nallakunta,1800,Semi-Furnished,30000
